Especie,L_vmt,P_vmt,L_vmtr,P_vmtr,L_fib,P_fib,A_r_m,An_r_m,A_r_u,An_r_u,Lu_ punt,LV,LF,A_crec,Fib,Apo,Para,S_cristal,Rad,Crist
F.angustifolia,59.854658,5.2855985,19.057496,6.4097297,6.4837907,2.3261621,165.37599,51.421854,83.680733,20.511135,2.9160401,433.77606,706.42632,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,62.513762,5.1277837,11.466073,4.6221218,12.325789,2.6600681,155.30604,42.304216,134.89093,16.861366,2.0619518,375.87425,686.85624,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,38.244124,4.053869,20.868568,5.438836,12.854748,2.6600681,148.71125,47.431999,75.905923,16.71453,2.1089985,433.77606,563.95137,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,34.206584,4.053869,29.59602,5.7330365,13.04758,2.7371875,131.16005,32.278574,75.732522,29.512612,2.8594126,375.87425,645.1624,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,39.324619,5.7330365,23.075027,3.8458378,10.4229,2.6600681,154.73358,28.463819,137.06634,28.319111,1.9477617,236.79939,641.81545,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,43.811803,6.5366673,21.830753,5.2855985,12.967581,2.5806452,127.55845,43.661505,100.81019,25.925752,1.8619146,265.47426,729.49269,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,45.468437,6.9034901,18.129453,5.1277837,13.685938,1.9354839,137.24008,33.941319,105.71197,19.057496,1.8084513,360.31786,700.09319,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,50.567852,8.5995547,18.354672,4.6221218,14.208204,2.6600681,116.28317,35.985937,195.68055,28.202811,2.0460291,350.24349,487.93575,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,36.910249,9.0647266,13.198441,2.5638919,16.749361,2.7371875,117.50627,34.8727,133.82067,18.129453,1.6376223,267.67817,931.87576,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,46.221218,6.4097297,12.819459,3.8458378,17.21505,1.9354839,177.87664,29.734514,67.955227,12.819459,2.5188812,321.6867,548.88189,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,41.042295,7.7977727,17.809362,3.8458378,12.72457,2.3261621,128.41234,34.61254,146.34411,21.94338,3.3346195,344.54071,603.94875,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,41.042295,6.9034901,16.215476,1.8129453,13.471363,3.2258065,153.96699,32.048648,116.76269,16.71453,2.9825743,285.61801,753.51857,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,42.997774,8.107738,9.3327073,2.8665182,9.5256923,2.5806452,145.22247,38.798724,182.48715,19.271873,2.357932,198.01812,857.63062,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,38.565059,4.6221218,12.161607,2.8665182,13.956973,1.2903226,195.2644,29.734514,125.63724,27.042679,2.3159477,202.54746,602.80514,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,46.469435,5.7330365,15.856795,1.2819459,13.563739,3.28969,129.1143,42.304216,152.74535,24.390685,2.7663986,350.21523,644.25427,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,49.066889,5.438836,12.883397,3.8458378,11.630811,1.8247917,131.38539,34.636272,114.44554,18.129453,2.8594126,319.36707,651.13073,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,48.460269,6.9034901,18.354672,3.6258906,11.024521,1.4426245,108.17072,37.374825,129.48289,16.71453,2.5702923,301.43529,706.18948,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,43.849297,4.6221218,11.466073,5.2855985,10.098372,1.9354839,123.65962,32.683337,107.02521,17.992969,3.3247973,389.1688,721.8858,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,33.256554,5.1277837,19.057496,8.2084591,11.267258,1.2903226,115.69518,35.756871,146.14746,21.94338,2.5575364,240.67341,819.75953,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,44.84979,6.4097297,14.94993,1.8129453,13.609692,1.9354839,118.50202,32.278574,120.50292,21.830753,3.4786256,422.69666,650.35955,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,37.85541,5.438836,12.625703,3.8458378,11.630811,2.5806452,270.96104,34.517451,170.67222,20.511135,2.81329,415.17078,641.81545,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,44.776446,3.8458378,18.354672,2.5638919,7.3559705,1.9354839,113.68916,30.793398,170.07901,20.670757,3.6618348,316.56926,727.77083,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,50.502813,3.8458378,11.818958,2.5638919,11.099775,2.3261621,122.7526,30.766702,188.62474,19.229189,1.8084513,491.69443,558.17475,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,47.031869,3.8458378,12.883397,2.5638919,9.2373039,2.7371875,150.0753,32.048648,137.12028,26.146669,2.754551,450.80722,804.64734,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,61.120315,2.6109305,17.947243,3.8458378,10.402913,2.5806452,206.52774,21.049994,152.53287,18.276513,1.6376223,455.98427,1190.7591,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,56.241163,5.2218609,12.883397,3.8458378,10.986701,3.2258065,266.32771,23.642981,110.43341,15.88167,1.617528,536.41713,830.37839,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,57.262175,3.6924133,21.793081,2.8665182,9.86907,2.5806452,143.98045,21.049994,114.99956,10.765142,1.8084513,502.12829,717.7026,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,74.308384,7.3848265,24.491543,4.053869,12.967581,3.7619044,178.23306,18.276513,100.88468,11.676436,1.8619146,566.90983,846.63742,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,79.279475,5.2218609,30.820071,5.1277837,11.684368,3.7619044,278.24484,18.462066,101.82629,18.276513,1.8084513,349.7575,875.22401,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,63.52668,5.2218609,27.998122,3.8458378,11.432287,1.9354839,167.4256,21.049994,130.54652,11.07724,2.357932,318.54422,911.11313,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,46.265806,5.2218609,16.062736,5.1277837,10.640273,3.2258065,201.31273,26.109305,125.4334,15.665583,2.357932,314.10481,1042.947,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,52.479053,7.8327914,24.390685,3.8458378,9.3936902,3.6495834,232.37281,39.163957,107.84123,13.054652,1.4912872,272.96401,935.01189,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,80.431915,5.838218,25.638919,2.8665182,7.2131225,2.5806452,164.50934,15.665583,104.43722,18.276513,1.8442657,335.35976,835.52461,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,76.12105,5.2218609,18.129453,1.2819459,10.200896,2.5806452,256.94793,21.049994,208.87444,18.276513,1.617528,355.55658,764.53792,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,65.325459,5.2218609,14.332591,1.2819459,10.581432,3.2258065,156.74283,18.276513,111.63064,10.765142,1.5556887,344.65271,702.03189,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,56.362242,5.2218609,17.103292,2.5638919,10.581432,4.0803583,203.66931,20.887444,127.96223,18.462066,2.2875301,387.48354,623.30399,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,49.67634,5.2218609,26.146669,2.5638919,9.6774194,3.4742999,127.93559,28.720235,177.54327,13.313185,2.412775,267.82089,844.65929,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,45.071648,5.2218609,20.551157,2.5638919,13.563739,4.0803583,172.34119,33.942096,104.46985,19.007861,1.6376223,245.71894,856.0688,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,67.380219,7.8327914,20.71047,2.5638919,7.5238089,3.2258065,193.20885,18.462066,146.23542,10.443722,2.0619518,305.65734,897.30741,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,60.108133,5.2218609,21.905902,3.8458378,9.7630619,3.28969,204.07057,31.331166,204.25421,19.007861,1.7156476,277.06635,644.1569,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,52.479053,2.6109305,17.43635,4.6221218,10.342722,4.516129,220.31055,28.720235,167.18112,18.276513,2.2875301,316.99965,785.68767,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,57.677339,5.2218609,14.616432,2.5638919,9.86907,2.5806452,151.52397,26.626371,112.27001,18.276513,1.8442657,377.07827,768.57504,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,47.069218,5.2218609,22.388223,2.5638919,9.7630619,3.2258065,214.49394,26.239526,157.19883,15.88167,2.5575364,378.95897,1341.8964,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,57.499779,3.6924133,14.332591,4.053869,10.015597,2.5806452,167.28303,20.887444,94.895739,13.313185,1.617528,285.11791,628.38245,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,49.607679,3.6924133,15.489812,5.2855985,9.0322581,3.8709677,203.71951,18.276513,83.916134,13.313185,1.9974998,310.97486,870.02421,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,41.856399,5.2218609,19.399362,2.5638919,10.342722,3.2258065,151.43397,26.109305,92.715607,10.765142,2.1701416,210.0623,897.42392,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,52.022421,5.2218609,18.354672,2.5638919,9.5910121,4.6523242,156.65583,20.887444,94.319298,15.88167,2.412775,436.30671,959.71028,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,59.538375,5.2218609,17.947243,2.8665182,9.1239585,1.9354839,245.92692,26.109305,143.69609,19.007861,2.2875301,534.02305,840.41543,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,50.22225,7.8327914,20.511135,2.5638919,9.0322581,2.5806452,164.81983,31.331166,154.06702,15.665583,1.9974998,527.10412,800.73987,FVP,L,Difuso,ME,NO,UBT,N
F.durangensis,54.82954,8.2564871,14.101405,2.5638919,12.967581,1.9354839,191.50779,26.239526,143.98045,20.887444,1.143765,307.65802,726.41919,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,71.264533,8.2564871,15.004792,3.8458378,10.502465,1.2903226,138.77286,26.626371,223.26127,22.3078,1.2787682,225.50944,811.0664,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,65.42973,5.838218,11.537513,4.053869,11.414068,2.0401791,220.21771,26.626371,146.97938,26.626371,1.0544993,252.00551,1050.2991,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,50.6951,5.2218609,20.551157,4.053869,9.6989009,1.9354839,223.16965,31.439766,116.44282,22.3078,0.80876402,370.76132,621.96066,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,48.001372,7.8327914,15.383351,3.8458378,9.86907,1.9354839,185.89018,21.049994,183.43529,21.049994,1.0544993,612.20613,745.03486,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,48.776206,8.2564871,14.159556,2.8665182,11.137211,3.2258065,266.78804,39.939556,247.59827,26.109305,1.8084513,174.11827,751.7683,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,61.896125,2.6109305,27.042679,4.053869,11.043382,2.885249,410.63886,31.76334,172.57836,18.462066,1.0544993,416.45773,909.25228,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,60.89684,3.6924133,21.830753,1.2819459,11.612903,1.9354839,275.64799,34.341428,196.63617,23.642981,1.6376223,402.56619,620.04139,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,55.996244,5.2855985,14.101405,2.5638919,8.4857719,1.9354839,294.69992,28.83867,120.35795,24.071589,1.0544993,534.47602,809.62138,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,52.309049,6.5366673,14.159556,5.1277837,13.563739,1.4426245,358.18312,31.331166,188.94552,23.498374,1.3040928,492.11018,746.60489,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,59.025223,7.7977727,8.9736215,4.053869,9.6989009,2.5806452,256.3503,28.720235,192.04099,29.19109,1.143765,376.13713,737.36145,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,55.84931,5.1277837,12.819459,1.8129453,9.6774194,3.2258065,203.66931,29.19109,215.11278,26.239526,1.5556887,297.52008,885.76811,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,43.245492,5.2855985,9.3327073,2.5638919,11.630811,3.6495834,145.32355,40.532541,180.75862,23.642981,1.2787682,231.0194,663.56827,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,51.676893,7.4749651,11.537513,2.8665182,10.342722,3.2258065,228.393,39.250891,167.44595,21.049994,1.3040928,428.58247,877.41923,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,47.44932,5.2855985,14.101405,2.8665182,16.971544,1.9354839,369.24133,39.510547,388.47627,24.071589,2.7186985,363.25728,758.85538,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,47.501243,6.4097297,13.383908,4.053869,9.86907,2.0401791,234.00988,34.834157,134.25363,22.3078,2.200076,311.3757,713.14311,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,49.317445,5.1277837,17.947243,3.8458378,11.612903,3.2258065,219.76839,21.049994,215.68245,21.049994,2.357932,559.61687,764.75669,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,39.760995,5.1277837,17.992969,2.5638919,9.2373039,2.0401791,254.54898,31.439766,210.83971,24.071589,1.5345218,138.54304,1107.6621,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,47.86313,7.7977727,12.161607,3.6258906,11.684368,1.9354839,181.26703,29.19109,253.30063,26.239526,1.2787682,138.97948,685.51544,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,58.381343,5.1277837,14.616432,4.053869,11.896186,3.28969,152.06289,31.439766,235.69342,23.498374,1.0544993,278.62793,697.01006,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,53.535634,7.6916756,14.332591,4.053869,7.2131225,1.9354839,198.73966,23.642981,155.12531,21.530284,1.6376223,506.07619,650.87377,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,45.52262,3.8458378,11.608514,3.8458378,10.015597,2.6600681,271.3861,31.76334,213.53836,24.071589,1.8084513,314.37225,692.22369,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,44.868108,4.6221218,19.901153,4.053869,9.7630619,1.9354839,232.50479,44.691931,241.62042,23.642981,2.200076,497.48332,696.49988,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,52.559783,6.5366673,18.354672,2.5638919,10.640273,1.9354839,326.71077,34.341428,228.10927,26.109305,1.5345218,450.14894,727.77083,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,40.069783,6.5366673,17.199109,3.6258906,9.2373039,2.5806452,214.68454,21.530284,258.11263,26.239526,1.4912872,434.54543,584.77534,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,37.963785,4.053869,10.335379,2.5638919,6.3541018,2.0401791,219.19379,37.382835,194.86009,27.258914,2.7663986,457.7699,837.42444,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,35.756871,4.053869,19.568055,3.6258906,9.0552702,3.28969,351.11919,41.282435,212.19332,22.3078,2.1851601,237.74481,542.01988,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,39.491426,4.053869,27.732731,1.8129453,7.2131225,2.5806452,266.26371,33.025948,232.07926,22.3078,2.0619518,395.67298,555.54626,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,32.456279,5.1277837,11.537513,3.6258906,10.814874,1.2903226,166.81373,29.19109,265.09624,29.19109,2.8594126,288.66565,604.60622,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,35.27099,5.7330365,15.004792,2.5638919,10.814874,1.9354839,315.36106,43.060568,127.32135,22.3078,2.412775,335.98724,514.7945,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,25.957427,1.8129453,22.388223,1.2819459,6.57938,1.9354839,345.13696,43.218589,181.83027,24.769461,1.9477617,451.26136,642.85714,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,42.978659,5.2855985,12.883397,2.5638919,7.9802044,2.0401791,168.44043,33.025948,219.19379,18.462066,1.9477617,355.21008,685.91186,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,44.278197,6.9034901,10.571197,2.8665182,8.4118741,3.2258065,270.83291,39.939556,205.18658,27.258914,2.7186985,437.95197,763.55269,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,49.995891,4.6221218,13.80698,2.8665182,7.3559705,1.9354839,216.34517,41.282435,109.09816,24.769461,1.9477617,308.0566,705.95256,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,42.978659,3.8458378,21.142394,2.5638919,7.2131225,3.2258065,124.12222,26.109305,210.90436,16.512974,2.9160401,475.92042,817.92093,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,40.53869,6.5366673,21.905902,3.6258906,12.675408,1.9354839,150.28167,33.025948,103.28862,24.631469,2.754551,353.52899,894.50667,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,44.203905,5.1277837,14.332591,1.2819459,9.86907,3.2258065,202.7804,30.560158,134.78573,19.007861,1.8442657,281.29586,622.19595,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,43.245492,8.107738,10.335379,3.8458378,8.4118741,1.4426245,194.07136,33.025948,165.95334,19.007861,2.9935196,312.37467,536.78659,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,38.565059,5.7330365,21.025477,3.8458378,11.896186,2.6600681,189.37797,47.285962,139.33663,16.512974,1.8084513,353.43166,760.58935,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,36.731722,8.9736215,8.5995547,3.6258906,11.630811,1.4426245,177.94597,45.59794,109.06691,15.88167,1.9477617,254.96374,572.59833,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,34.206584,3.8458378,20.269345,3.8458378,12.052608,1.9354839,291.59547,33.025948,162.40323,19.007861,2.6331449,419.35506,660.12459,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,29.927329,5.1277837,19.942399,3.8458378,9.5910121,2.5806452,243.60135,24.769461,147.69653,23.642981,2.200076,367.40892,581.29653,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,39.052037,3.8458378,23.948726,5.1277837,9.7630619,2.3261621,350.83756,28.83867,289.86032,26.881174,1.9974998,284.68437,964.62176,FVP,L,Difuso,MA,NO,UBT,N
F.durangensis,47.639429,5.2855985,14.332591,3.8458378,11.137211,3.9243629,182.55987,30.560158,151.09597,29.19109,2.9935196,345.12708,486.08954,FVP,L,Difuso,MA,NO,UBT,N
